id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_rating,reviews_per_month,zona,is_superhost
960746755853167419,t,Copacabana,-22.969249,-43.189566,Entire home/apt,4,717.0,17,5.0,1.07,Zona Sul,True
960782454003830848,t,Copacabana,-22.9635745,-43.1785189,Entire home/apt,4,743.0,26,4.81,1.59,Zona Sul,True
960841972801058977,f,Catete,-22.923451348384468,-43.17815833149156,Entire home/apt,3,325.0,13,4.77,0.82,Zona Sul,False
960849096375430685,f,Copacabana,-22.969709218161164,-43.18540077656508,Entire home/apt,3,1400.0,21,4.81,1.33,Zona Sul,False
960866924005371911,t,Rio Comprido,-22.92275,-43.21009,Entire home/apt,3,565.0,20,5.0,1.23,Zona Norte,True
960928883023828182,t,Recreio dos Bandeirantes,-23.030936561222823,-43.49655021385402,Private room,3,600.0,2,5.0,0.14,Zona Oeste,True
960953443823862655,f,São Conrado,-22.998338989123308,-43.25797769825153,Private room,4,370.0,0,,0.0,Zona Sul,False
957973550864408915,t,Recreio dos Bandeirantes,-23.02856621426151,-43.47451977431774,Entire home/apt,5,584.0,29,4.79,1.89,Zona Oeste,True
957981989286187108,f,Leme,-22.959983888369244,-43.16784700207541,Private room,2,129.0,0,,0.0,Zona Sul,False
958014706288384944,f,Barra da Tijuca,-23.01419,-43.30686,Entire home/apt,2,721.0,5,4.0,0.32,Zona Oeste,False
958027845458408196,t,Ipanema,-22.9855391240927,-43.19957908465576,Entire home/apt,6,4282.0,25,4.96,1.58,Zona Sul,True
958044524389425363,t,Catete,-22.9258824,-43.1771095,Entire home/apt,8,1079.0,55,4.91,3.61,Zona Sul,True
958087779906800206,t,Flamengo,-22.9411201534724,-43.175072536884805,Entire home/apt,2,877.0,20,4.95,1.3,Zona Sul,True
960962930651173205,f,São Conrado,-22.9980396,-43.2568208,Private room,4,822.0,1,5.0,0.09,Zona Sul,False
960981926407074083,f,Centro,-22.9148439,-43.1881229,Entire home/apt,3,307.0,17,4.47,1.09,Centro,False
960989365885262571,f,Guaratiba,-22.992577916789813,-43.55842161923647,Entire home/apt,4,153.0,0,,0.0,Zona Oeste,False
960994270111342333,f,Leme,-22.963342240072823,-43.167577208945744,Entire home/apt,4,3363.0,2,5.0,0.65,Zona Sul,False
961144597673456169,f,Copacabana,-22.971143395580988,-43.18422596901655,Entire home/apt,7,4629.0,42,4.86,2.57,Zona Sul,False
961385910390885850,f,Jacarepaguá,-22.97328313020003,-43.40810381799477,Private room,2,429.0,0,,0.0,Zona Oeste,False
961426000460070793,f,Copacabana,-22.965234319444757,-43.18147351550208,Entire home/apt,5,1500.0,1,5.0,0.14,Zona Sul,False
961462006974658412,f,Copacabana,-22.9803559,-43.1914236,Entire home/apt,5,586.0,8,4.63,0.51,Zona Sul,False
958092129606501219,t,Flamengo,-22.9390175,-43.1783864,Entire home/apt,6,1403.0,54,4.94,3.68,Zona Sul,True
958139358759046072,f,Recreio dos Bandeirantes,-23.028555741444883,-43.47011057301635,Entire home/apt,8,1700.0,5,4.4,0.37,Zona Oeste,False
958141596989871178,f,Recreio dos Bandeirantes,-23.029798616786525,-43.47426117578687,Entire home/apt,4,500.0,0,,0.0,Zona Oeste,False
958154679995205645,t,Ipanema,-22.9852,-43.19681,Entire home/apt,6,2878.0,17,4.94,1.07,Zona Sul,True
958187812101264648,t,Copacabana,-22.9824024,-43.1902727,Entire home/apt,4,793.0,40,4.98,2.52,Zona Sul,True
961659051511319807,f,Jacarepaguá,-22.9726011,-43.3886174,Private room,2,283.0,38,4.87,2.33,Zona Oeste,False
961674713271123577,t,Copacabana,-22.97359595046235,-43.19028370612979,Entire home/apt,4,709.0,112,4.86,6.86,Zona Sul,True
961731864911509906,t,Copacabana,-22.9671506,-43.188284,Entire home/apt,4,690.0,42,4.95,2.59,Zona Sul,True
961750438635190005,t,Jacarepaguá,-22.969697459842024,-43.386991864045214,Entire home/apt,2,437.0,71,4.94,4.43,Zona Oeste,True
961838483775190762,t,Leblon,-22.9844764612154,-43.21900538604736,Entire home/apt,4,2470.0,73,4.93,4.52,Zona Sul,True
961845353309697997,f,Copacabana,-22.973932689536184,-43.191362991929054,Entire home/apt,3,729.0,8,4.88,0.5,Zona Sul,False
962169406604428396,t,Flamengo,-22.93856042172872,-43.1762600269329,Entire home/apt,3,800.0,7,5.0,0.46,Zona Sul,True
962223680668282479,t,Jacarepaguá,-22.969028461487586,-43.39697781689862,Entire home/apt,4,523.0,11,4.82,0.71,Zona Oeste,True
962256862551110101,t,Botafogo,-22.95798,-43.18511,Private room,1,1040.0,0,,0.0,Zona Sul,True
962303973858176446,t,Copacabana,-22.97112,-43.19014,Shared room,5,110.0,96,4.97,6.03,Zona Sul,True
958235721780784628,f,Ipanema,-22.98537,-43.19837,Entire home/apt,5,9800.0,0,,0.0,Zona Sul,False
958551654499377193,f,Leme,-22.961189601321436,-43.16842485074203,Private room,3,131.0,0,,0.0,Zona Sul,False
958597596401414373,t,Copacabana,-22.9866016,-43.1905035,Entire home/apt,4,981.0,5,4.6,0.32,Zona Sul,True
958606556330184512,t,Ipanema,-22.983954223563863,-43.21333067536787,Entire home/apt,2,829.0,10,5.0,0.74,Zona Sul,True
958613473809645297,f,Copacabana,-22.96603,-43.18011,Private room,1,172.0,0,,0.0,Zona Sul,False
958620635517243371,f,Leblon,-22.98346,-43.22433,Entire home/apt,4,422.0,11,4.73,0.67,Zona Sul,False
958630599463234894,f,Gávea,-22.9795625,-43.2304221,Entire home/apt,3,737.0,8,5.0,0.85,Zona Sul,False
958638462925862921,f,Barra da Tijuca,-23.003653409520265,-43.34042990185348,Entire home/apt,4,1300.0,0,,0.0,Zona Oeste,False
958675344664840067,f,Copacabana,-22.9800363,-43.1906477,Entire home/apt,2,891.0,45,4.82,2.74,Zona Sul,False
958677818568059172,t,Barra da Tijuca,-23.0125279677641,-43.30045681446791,Entire home/apt,6,1183.0,17,5.0,1.27,Zona Oeste,True
958684778500196122,f,Barra da Tijuca,-23.0006712,-43.3073953,Private room,2,1330.0,15,5.0,0.95,Zona Oeste,False
958687471074928788,f,Santa Teresa,-22.9258698847558,-43.19110519661955,Entire home/apt,4,500.0,1,5.0,0.07,Zona Sul,False
958696335012695809,t,Ipanema,-22.9856734,-43.2111637,Entire home/apt,2,1400.0,75,4.83,4.59,Zona Sul,True
962313944087765960,f,Copacabana,-22.9647058,-43.1904304,Entire home/apt,6,622.0,6,4.83,0.38,Zona Sul,False
962317710164114623,f,Barra da Tijuca,-23.00742736577603,-43.42849968673248,Entire home/apt,4,250.0,2,5.0,0.15,Zona Oeste,False
962377282556907548,f,Ipanema,-22.98188412635718,-43.201385736465454,Entire home/apt,5,1371.0,1,5.0,0.07,Zona Sul,False
962402869063850987,t,Ipanema,-22.9855854,-43.196686,Entire home/apt,4,2300.0,25,5.0,1.7,Zona Sul,True
962415248739107793,t,Copacabana,-22.9650512,-43.1794257,Entire home/apt,4,785.0,46,4.85,2.86,Zona Sul,True
962416511881175010,t,Rio Comprido,-22.91954,-43.20904,Entire home/apt,3,564.0,13,4.92,0.93,Zona Norte,True
962429836510196086,f,Centro,-22.90744220084354,-43.195071760830686,Private room,2,414.0,1,5.0,0.07,Centro,False
962446359873721755,t,Recreio dos Bandeirantes,-23.01456652862032,-43.45832660794258,Entire home/apt,2,407.0,60,4.95,3.68,Zona Oeste,True
962469019714405942,f,Copacabana,-22.96348614008462,-43.17544408142567,Entire home/apt,4,1021.0,28,4.61,1.76,Zona Sul,False
962473997071865876,f,Humaitá,-22.954943645671552,-43.19636063040163,Entire home/apt,3,385.0,7,5.0,0.51,Zona Sul,False
958697733687071425,f,Copacabana,-22.966562755798964,-43.177037464909176,Private room,2,230.0,3,5.0,0.22,Zona Sul,False
958704251175561796,f,Copacabana,-22.978977090869208,-43.19034542888403,Entire home/apt,3,800.0,6,5.0,0.36,Zona Sul,False
958712953253225837,t,Copacabana,-22.98409,-43.19195,Entire home/apt,4,3510.0,2,5.0,0.14,Zona Sul,True
958716221431254520,t,Leblon,-22.981986654713843,-43.2241910358876,Entire home/apt,4,1018.0,37,4.7,2.46,Zona Sul,True
958724171178273018,f,Recreio dos Bandeirantes,-23.0274466,-43.4803052,Entire home/apt,4,250.0,2,4.0,0.14,Zona Oeste,False
958727055232852985,f,Leme,-22.963459480027637,-43.16967144410568,Entire home/apt,4,737.0,19,4.53,1.2,Zona Sul,False
962528816079186644,f,Copacabana,-22.961586885215542,-43.17541837945829,Entire home/apt,3,661.0,1,3.0,0.09,Zona Sul,False
962550031740820993,f,Copacabana,-22.966022714615924,-43.17840932896869,Private room,6,400.0,10,4.5,0.61,Zona Sul,False
962560545223345464,t,Ipanema,-22.984407,-43.2075961,Entire home/apt,4,1004.0,8,5.0,0.5,Zona Sul,True
962867007459611688,f,Laranjeiras,-22.9305,-43.18155,Entire home/apt,8,2108.0,2,5.0,0.17,Zona Sul,False
962957437052891976,t,Ipanema,-22.98546,-43.19548,Entire home/apt,4,1927.0,91,4.89,5.74,Zona Sul,True
963006623073098239,f,Leblon,-22.9813873,-43.2247888,Entire home/apt,2,510.0,0,,0.0,Zona Sul,False
963028604580732017,t,Copacabana,-22.96766,-43.18339,Entire home/apt,6,1021.0,50,4.84,3.15,Zona Sul,True
963038066960971289,t,Copacabana,-22.96476043459243,-43.17538772107052,Entire home/apt,2,324.0,41,4.93,2.75,Zona Sul,True
958727972761381495,f,Ipanema,-22.98556,-43.19849,Entire home/apt,2,1735.0,0,,0.0,Zona Sul,False
958728447321360242,f,Recreio dos Bandeirantes,-23.028858425085325,-43.49798206239939,Entire home/apt,4,181.0,2,5.0,0.14,Zona Oeste,False
958734322748725775,f,Barra da Tijuca,-23.0045865,-43.3411208,Entire home/apt,2,1040.0,0,,0.0,Zona Oeste,False
958762355685995119,f,Copacabana,-22.96091,-43.17429,Entire home/apt,6,6000.0,0,,0.0,Zona Sul,False
958772828968578426,f,Leme,-22.959642145029765,-43.16974712165933,Private room,4,132.0,0,,0.0,Zona Sul,False
958814349357752769,f,Barra da Tijuca,-23.00966077563244,-43.34487251937389,Entire home/apt,4,1170.0,1,5.0,0.07,Zona Oeste,False
958858866383337087,f,Ipanema,-22.98386,-43.20267,Entire home/apt,4,9227.0,3,5.0,2.43,Zona Sul,False
958864948912329687,f,Flamengo,-22.927366963095302,-43.17648142576218,Entire home/apt,2,395.0,7,5.0,0.58,Zona Sul,False
958936832480753020,t,Copacabana,-22.97659751438423,-43.19082420319319,Entire home/apt,2,1014.0,14,4.86,0.99,Zona Sul,True
959002672420320866,t,Barra da Tijuca,-23.0045865,-43.3411208,Entire home/apt,2,642.0,54,4.69,3.27,Zona Oeste,True
963063150638632776,f,Barra da Tijuca,-23.011270190578955,-43.38423745113818,Entire home/apt,5,584.0,0,,0.0,Zona Oeste,False
963074471256010894,f,Jacarepaguá,-22.97427007480722,-43.41139209360605,Entire home/apt,4,310.0,0,,0.0,Zona Oeste,False
963097172074285793,t,São Conrado,-22.9966929,-43.25604200000001,Entire home/apt,5,1008.0,16,5.0,1.07,Zona Sul,True
963189287494201822,f,Copacabana,-22.979413242780925,-43.19112628698349,Entire home/apt,4,3357.0,3,4.67,0.2,Zona Sul,False
963193071876989042,f,Copacabana,-22.97714449664495,-43.19254383444786,Entire home/apt,3,829.0,0,,0.0,Zona Sul,False
963207975874613748,f,Copacabana,-22.96241,-43.17918,Entire home/apt,4,914.0,14,4.79,0.88,Zona Sul,False
963228366972753882,t,Ipanema,-22.985643675986815,-43.19948126461157,Entire home/apt,4,957.0,13,5.0,0.81,Zona Sul,True
963236092903218453,t,Ipanema,-22.98556,-43.19646,Private room,2,536.0,61,4.72,3.84,Zona Sul,True
963245842560705277,t,Copacabana,-22.9669282,-43.187908,Entire home/apt,4,993.0,14,5.0,0.95,Zona Sul,True
959162106457096306,t,Copacabana,-22.97561685278755,-43.19273192435503,Entire home/apt,5,1243.0,30,5.0,2.02,Zona Sul,True
959248737301782558,f,Jacarepaguá,-22.966171555714062,-43.40912081301212,Entire home/apt,6,564.0,37,5.0,2.34,Zona Oeste,False
959251896052472569,t,Copacabana,-22.9752085,-43.18999650000001,Entire home/apt,5,843.0,42,4.98,2.57,Zona Sul,True
959329960524545279,f,Barra da Tijuca,-23.00152,-43.30636,Private room,2,1366.0,9,4.56,0.55,Zona Oeste,False
959357933861152696,f,Itanhangá,-23.000643112249048,-43.30643795140261,Private room,2,714.0,2,5.0,0.13,Zona Oeste,False
